//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Ne 300 2,5dpa anneal.wip
GraphName = REFEL Ne 300 2,5dpa-1100S--Spectrum--032--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 5691.30000002328
PositionY = 10021.5000000233
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Ne 300 2,5dpa-1100S--Spectrum--032--Spec.Data 1
 2.65845E+01	 1.34672E+03
 2.95325E+01	 1.34790E+03
 3.24795E+01	 1.34712E+03
 3.54254E+01	 1.34680E+03
 3.83703E+01	 1.34704E+03
 4.13142E+01	 1.34662E+03
 4.42570E+01	 1.34692E+03
 4.71989E+01	 1.34688E+03
 5.01397E+01	 1.34618E+03
 5.30795E+01	 1.34710E+03
 5.60182E+01	 1.34748E+03
 5.89559E+01	 1.34944E+03
 6.18927E+01	 1.35354E+03
 6.48283E+01	 1.36342E+03
 6.77630E+01	 1.37874E+03
 7.06967E+01	 1.39206E+03
 7.36293E+01	 1.40328E+03
 7.65609E+01	 1.40816E+03
 7.94915E+01	 1.41288E+03
 8.24211E+01	 1.41186E+03
 8.53496E+01	 1.41260E+03
 8.82771E+01	 1.41368E+03
 9.12037E+01	 1.41412E+03
 9.41292E+01	 1.41236E+03
 9.70536E+01	 1.41858E+03
 9.99771E+01	 1.41704E+03
 1.02900E+02	 1.41890E+03
 1.05821E+02	 1.41572E+03
 1.08741E+02	 1.42038E+03
 1.11661E+02	 1.41728E+03
 1.14579E+02	 1.41988E+03
 1.17497E+02	 1.41980E+03
 1.20413E+02	 1.41974E+03
 1.23328E+02	 1.41912E+03
 1.26243E+02	 1.42438E+03
 1.29156E+02	 1.42452E+03
 1.32068E+02	 1.42606E+03
 1.34980E+02	 1.42832E+03
 1.37890E+02	 1.43130E+03
 1.40799E+02	 1.42928E+03
 1.43708E+02	 1.42906E+03
 1.46615E+02	 1.43586E+03
 1.49521E+02	 1.42852E+03
 1.52427E+02	 1.43256E+03
 1.55331E+02	 1.43170E+03
 1.58234E+02	 1.43352E+03
 1.61137E+02	 1.43344E+03
 1.64038E+02	 1.43340E+03
 1.66938E+02	 1.43572E+03
 1.69837E+02	 1.43582E+03
 1.72736E+02	 1.43598E+03
 1.75633E+02	 1.44060E+03
 1.78529E+02	 1.44000E+03
 1.81425E+02	 1.43670E+03
 1.84319E+02	 1.43808E+03
 1.87212E+02	 1.44096E+03
 1.90105E+02	 1.44150E+03
 1.92996E+02	 1.43726E+03
 1.95886E+02	 1.43838E+03
 1.98775E+02	 1.43780E+03
 2.01664E+02	 1.43792E+03
 2.04551E+02	 1.43912E+03
 2.07437E+02	 1.43996E+03
 2.10323E+02	 1.43928E+03
 2.13207E+02	 1.43668E+03
 2.16090E+02	 1.43782E+03
 2.18973E+02	 1.43532E+03
 2.21854E+02	 1.43748E+03
 2.24735E+02	 1.43764E+03
 2.27614E+02	 1.43416E+03
 2.30492E+02	 1.43428E+03
 2.33370E+02	 1.43636E+03
 2.36246E+02	 1.43506E+03
 2.39122E+02	 1.43422E+03
 2.41996E+02	 1.43052E+03
 2.44870E+02	 1.43184E+03
 2.47742E+02	 1.43170E+03
 2.50614E+02	 1.42980E+03
 2.53484E+02	 1.43148E+03
 2.56354E+02	 1.43198E+03
 2.59222E+02	 1.43112E+03
 2.62090E+02	 1.43064E+03
 2.64956E+02	 1.43114E+03
 2.67822E+02	 1.43246E+03
 2.70687E+02	 1.43028E+03
 2.73550E+02	 1.42940E+03
 2.76413E+02	 1.42836E+03
 2.79275E+02	 1.42874E+03
 2.82135E+02	 1.42692E+03
 2.84995E+02	 1.42914E+03
 2.87854E+02	 1.42808E+03
 2.90711E+02	 1.42872E+03
 2.93568E+02	 1.42658E+03
 2.96424E+02	 1.42666E+03
 2.99279E+02	 1.42444E+03
 3.02133E+02	 1.42498E+03
 3.04986E+02	 1.42862E+03
 3.07838E+02	 1.42426E+03
 3.10689E+02	 1.42788E+03
 3.13538E+02	 1.42708E+03
 3.16387E+02	 1.42448E+03
 3.19236E+02	 1.42786E+03
 3.22083E+02	 1.42524E+03
 3.24929E+02	 1.42406E+03
 3.27774E+02	 1.42270E+03
 3.30618E+02	 1.42198E+03
 3.33461E+02	 1.42436E+03
 3.36303E+02	 1.42616E+03
 3.39145E+02	 1.42392E+03
 3.41985E+02	 1.42582E+03
 3.44824E+02	 1.42470E+03
 3.47663E+02	 1.42374E+03
 3.50500E+02	 1.42420E+03
 3.53336E+02	 1.42504E+03
 3.56172E+02	 1.42338E+03
 3.59006E+02	 1.42214E+03
 3.61840E+02	 1.42388E+03
 3.64672E+02	 1.42646E+03
 3.67504E+02	 1.42404E+03
 3.70335E+02	 1.42326E+03
 3.73164E+02	 1.42220E+03
 3.75993E+02	 1.42414E+03
 3.78821E+02	 1.42460E+03
 3.81648E+02	 1.42508E+03
 3.84473E+02	 1.42184E+03
 3.87298E+02	 1.42224E+03
 3.90122E+02	 1.42326E+03
 3.92945E+02	 1.42292E+03
 3.95767E+02	 1.42468E+03
 3.98588E+02	 1.42364E+03
 4.01408E+02	 1.42456E+03
 4.04227E+02	 1.42442E+03
 4.07046E+02	 1.42298E+03
 4.09863E+02	 1.42342E+03
 4.12679E+02	 1.42130E+03
 4.15494E+02	 1.42474E+03
 4.18309E+02	 1.42378E+03
 4.21122E+02	 1.42156E+03
 4.23935E+02	 1.42138E+03
 4.26746E+02	 1.42096E+03
 4.29557E+02	 1.42480E+03
 4.32366E+02	 1.42126E+03
 4.35175E+02	 1.42310E+03
 4.37983E+02	 1.42404E+03
 4.40790E+02	 1.42330E+03
 4.43595E+02	 1.42480E+03
 4.46400E+02	 1.42470E+03
 4.49204E+02	 1.41980E+03
 4.52007E+02	 1.42392E+03
 4.54809E+02	 1.42204E+03
 4.57610E+02	 1.42220E+03
