//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Ne 300 2,5dpa anneal.wip
GraphName = REFEL Ne 300 2,5dpa-1100 2mins--Spectrum--034--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 5713.80000002328
PositionY = 10044.0000000233
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Ne 300 2,5dpa-1100 2mins--Spectrum--034--Spec.Data 1
 2.65845E+01	 1.34668E+03
 2.95325E+01	 1.34790E+03
 3.24795E+01	 1.34686E+03
 3.54254E+01	 1.34728E+03
 3.83703E+01	 1.34634E+03
 4.13142E+01	 1.34644E+03
 4.42570E+01	 1.34794E+03
 4.71989E+01	 1.34742E+03
 5.01397E+01	 1.34800E+03
 5.30795E+01	 1.34704E+03
 5.60182E+01	 1.34866E+03
 5.89559E+01	 1.34928E+03
 6.18927E+01	 1.35642E+03
 6.48283E+01	 1.36834E+03
 6.77630E+01	 1.38652E+03
 7.06967E+01	 1.40908E+03
 7.36293E+01	 1.42338E+03
 7.65609E+01	 1.43086E+03
 7.94915E+01	 1.43496E+03
 8.24211E+01	 1.43672E+03
 8.53496E+01	 1.43710E+03
 8.82771E+01	 1.43734E+03
 9.12037E+01	 1.44090E+03
 9.41292E+01	 1.44060E+03
 9.70536E+01	 1.44124E+03
 9.99771E+01	 1.44066E+03
 1.02900E+02	 1.44338E+03
 1.05821E+02	 1.44222E+03
 1.08741E+02	 1.44450E+03
 1.11661E+02	 1.44494E+03
 1.14579E+02	 1.44738E+03
 1.17497E+02	 1.44630E+03
 1.20413E+02	 1.44756E+03
 1.23328E+02	 1.44714E+03
 1.26243E+02	 1.44824E+03
 1.29156E+02	 1.45228E+03
 1.32068E+02	 1.45282E+03
 1.34980E+02	 1.45508E+03
 1.37890E+02	 1.45544E+03
 1.40799E+02	 1.45478E+03
 1.43708E+02	 1.45856E+03
 1.46615E+02	 1.46194E+03
 1.49521E+02	 1.45982E+03
 1.52427E+02	 1.46070E+03
 1.55331E+02	 1.46376E+03
 1.58234E+02	 1.46258E+03
 1.61137E+02	 1.46362E+03
 1.64038E+02	 1.46320E+03
 1.66938E+02	 1.46524E+03
 1.69837E+02	 1.46392E+03
 1.72736E+02	 1.46570E+03
 1.75633E+02	 1.46700E+03
 1.78529E+02	 1.46794E+03
 1.81425E+02	 1.46976E+03
 1.84319E+02	 1.46856E+03
 1.87212E+02	 1.47122E+03
 1.90105E+02	 1.46992E+03
