//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Ne 300 2,5dpa anneal.wip
GraphName = REFEL Ne 300 2,5dpa-1200 s--Spectrum--036--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 5713.80000002328
PositionY = 10044.0000000233
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Ne 300 2,5dpa-1200 s--Spectrum--036--Spec.Data 1
 2.65845E+01	 1.34760E+03
 2.95325E+01	 1.34710E+03
 3.24795E+01	 1.34812E+03
 3.54254E+01	 1.34638E+03
 3.83703E+01	 1.34740E+03
 4.13142E+01	 1.34606E+03
 4.42570E+01	 1.34726E+03
 4.71989E+01	 1.34830E+03
 5.01397E+01	 1.34828E+03
 5.30795E+01	 1.34800E+03
 5.60182E+01	 1.34754E+03
 5.89559E+01	 1.34996E+03
 6.18927E+01	 1.35574E+03
 6.48283E+01	 1.37100E+03
 6.77630E+01	 1.39414E+03
 7.06967E+01	 1.41490E+03
 7.36293E+01	 1.43250E+03
 7.65609E+01	 1.44162E+03
 7.94915E+01	 1.44444E+03
 8.24211E+01	 1.44134E+03
 8.53496E+01	 1.44602E+03
 8.82771E+01	 1.44536E+03
 9.12037E+01	 1.44678E+03
 9.41292E+01	 1.44798E+03
 9.70536E+01	 1.44738E+03
 9.99771E+01	 1.44846E+03
 1.02900E+02	 1.44812E+03
 1.05821E+02	 1.45032E+03
 1.08741E+02	 1.44944E+03
 1.11661E+02	 1.44996E+03
 1.14579E+02	 1.44992E+03
 1.17497E+02	 1.45092E+03
 1.20413E+02	 1.45360E+03
 1.23328E+02	 1.45852E+03
 1.26243E+02	 1.45754E+03
 1.29156E+02	 1.45956E+03
 1.32068E+02	 1.45748E+03
 1.34980E+02	 1.45816E+03
 1.37890E+02	 1.45702E+03
 1.40799E+02	 1.46326E+03
 1.43708E+02	 1.46244E+03
 1.46615E+02	 1.46034E+03
 1.49521E+02	 1.46474E+03
 1.52427E+02	 1.46094E+03
 1.55331E+02	 1.46170E+03
 1.58234E+02	 1.46112E+03
 1.61137E+02	 1.46386E+03
 1.64038E+02	 1.46384E+03
 1.66938E+02	 1.46508E+03
 1.69837E+02	 1.46420E+03
 1.72736E+02	 1.46420E+03
 1.75633E+02	 1.46200E+03
 1.78529E+02	 1.46652E+03
 1.81425E+02	 1.46624E+03
 1.84319E+02	 1.46406E+03
 1.87212E+02	 1.46782E+03
 1.90105E+02	 1.46654E+03
 1.92996E+02	 1.46874E+03
 1.95886E+02	 1.46242E+03
 1.98775E+02	 1.46608E+03
 2.01664E+02	 1.46524E+03
 2.04551E+02	 1.46766E+03
 2.07437E+02	 1.46530E+03
 2.10323E+02	 1.46498E+03
 2.13207E+02	 1.46526E+03
 2.16090E+02	 1.46382E+03
 2.18973E+02	 1.46892E+03
 2.21854E+02	 1.46932E+03
 2.24735E+02	 1.46522E+03
 2.27614E+02	 1.46546E+03
 2.30492E+02	 1.46502E+03
 2.33370E+02	 1.46476E+03
 2.36246E+02	 1.46930E+03
 2.39122E+02	 1.46492E+03
 2.41996E+02	 1.46800E+03
 2.44870E+02	 1.46460E+03
 2.47742E+02	 1.46522E+03
 2.50614E+02	 1.46620E+03
 2.53484E+02	 1.46700E+03
 2.56354E+02	 1.46366E+03
 2.59222E+02	 1.46642E+03
 2.62090E+02	 1.46526E+03
 2.64956E+02	 1.46500E+03
 2.67822E+02	 1.46330E+03
 2.70687E+02	 1.46098E+03
 2.73550E+02	 1.46610E+03
 2.76413E+02	 1.46846E+03
 2.79275E+02	 1.46568E+03
 2.82135E+02	 1.46442E+03
 2.84995E+02	 1.46624E+03
 2.87854E+02	 1.46434E+03
 2.90711E+02	 1.46280E+03
 2.93568E+02	 1.46302E+03
 2.96424E+02	 1.46486E+03
 2.99279E+02	 1.46372E+03
 3.02133E+02	 1.46478E+03
 3.04986E+02	 1.46310E+03
 3.07838E+02	 1.46374E+03
 3.10689E+02	 1.46376E+03
 3.13538E+02	 1.46414E+03
 3.16387E+02	 1.46194E+03
 3.19236E+02	 1.46058E+03
 3.22083E+02	 1.46476E+03
 3.24929E+02	 1.46176E+03
 3.27774E+02	 1.46064E+03
 3.30618E+02	 1.46182E+03
 3.33461E+02	 1.46210E+03
 3.36303E+02	 1.45946E+03
 3.39145E+02	 1.46156E+03
 3.41985E+02	 1.46254E+03
 3.44824E+02	 1.46148E+03
 3.47663E+02	 1.46318E+03
 3.50500E+02	 1.46208E+03
 3.53336E+02	 1.45812E+03
 3.56172E+02	 1.45774E+03
 3.59006E+02	 1.46172E+03
 3.61840E+02	 1.46360E+03
 3.64672E+02	 1.46424E+03
 3.67504E+02	 1.46020E+03
 3.70335E+02	 1.46164E+03
 3.73164E+02	 1.46296E+03
 3.75993E+02	 1.46464E+03
 3.78821E+02	 1.46230E+03
 3.81648E+02	 1.46256E+03
 3.84473E+02	 1.46234E+03
 3.87298E+02	 1.46248E+03
 3.90122E+02	 1.46450E+03
 3.92945E+02	 1.46514E+03
 3.95767E+02	 1.46032E+03
 3.98588E+02	 1.46130E+03
 4.01408E+02	 1.46154E+03
 4.04227E+02	 1.46458E+03
 4.07046E+02	 1.46188E+03
 4.09863E+02	 1.46082E+03
 4.12679E+02	 1.46416E+03
 4.15494E+02	 1.46210E+03
 4.18309E+02	 1.46168E+03
