//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Ne 300 2,5dpa anneal.wip
GraphName = REFEL Ne 300 2,5dpa-1200  5mins--Spectrum--037--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 5713.80000002328
PositionY = 10044.0000000233
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Ne 300 2,5dpa-1200  5mins--Spectrum--037--Spec.Data 1
 2.65845E+01	 1.34720E+03
 2.95325E+01	 1.34618E+03
 3.24795E+01	 1.34668E+03
 3.54254E+01	 1.34678E+03
 3.83703E+01	 1.34642E+03
 4.13142E+01	 1.34792E+03
 4.42570E+01	 1.34712E+03
 4.71989E+01	 1.34750E+03
 5.01397E+01	 1.34698E+03
 5.30795E+01	 1.34720E+03
 5.60182E+01	 1.34906E+03
 5.89559E+01	 1.35062E+03
 6.18927E+01	 1.35974E+03
 6.48283E+01	 1.37502E+03
 6.77630E+01	 1.40204E+03
 7.06967E+01	 1.42430E+03
 7.36293E+01	 1.44420E+03
 7.65609E+01	 1.45254E+03
 7.94915E+01	 1.45698E+03
 8.24211E+01	 1.45774E+03
 8.53496E+01	 1.45536E+03
 8.82771E+01	 1.46120E+03
 9.12037E+01	 1.46120E+03
 9.41292E+01	 1.46070E+03
 9.70536E+01	 1.46172E+03
 9.99771E+01	 1.46328E+03
 1.02900E+02	 1.46422E+03
 1.05821E+02	 1.46138E+03
 1.08741E+02	 1.46266E+03
 1.11661E+02	 1.46346E+03
 1.14579E+02	 1.46392E+03
 1.17497E+02	 1.46670E+03
 1.20413E+02	 1.46532E+03
 1.23328E+02	 1.47082E+03
 1.26243E+02	 1.46956E+03
 1.29156E+02	 1.47026E+03
 1.32068E+02	 1.47024E+03
 1.34980E+02	 1.47204E+03
 1.37890E+02	 1.47046E+03
 1.40799E+02	 1.47418E+03
 1.43708E+02	 1.47770E+03
 1.46615E+02	 1.47564E+03
 1.49521E+02	 1.48018E+03
 1.52427E+02	 1.47680E+03
 1.55331E+02	 1.47962E+03
 1.58234E+02	 1.48032E+03
 1.61137E+02	 1.48130E+03
 1.64038E+02	 1.47408E+03
 1.66938E+02	 1.47758E+03
 1.69837E+02	 1.47908E+03
 1.72736E+02	 1.48188E+03
 1.75633E+02	 1.48122E+03
 1.78529E+02	 1.48152E+03
 1.81425E+02	 1.48156E+03
 1.84319E+02	 1.47926E+03
 1.87212E+02	 1.48364E+03
 1.90105E+02	 1.47900E+03
 1.92996E+02	 1.47856E+03
 1.95886E+02	 1.48118E+03
 1.98775E+02	 1.48246E+03
 2.01664E+02	 1.48054E+03
 2.04551E+02	 1.48074E+03
 2.07437E+02	 1.47904E+03
 2.10323E+02	 1.48144E+03
 2.13207E+02	 1.47968E+03
 2.16090E+02	 1.48592E+03
 2.18973E+02	 1.48446E+03
 2.21854E+02	 1.48300E+03
 2.24735E+02	 1.48430E+03
 2.27614E+02	 1.48262E+03
 2.30492E+02	 1.48018E+03
 2.33370E+02	 1.48242E+03
 2.36246E+02	 1.48502E+03
 2.39122E+02	 1.48102E+03
 2.41996E+02	 1.48256E+03
 2.44870E+02	 1.48244E+03
 2.47742E+02	 1.48322E+03
 2.50614E+02	 1.48216E+03
 2.53484E+02	 1.48310E+03
 2.56354E+02	 1.48450E+03
 2.59222E+02	 1.48318E+03
 2.62090E+02	 1.48278E+03
 2.64956E+02	 1.48604E+03
 2.67822E+02	 1.48010E+03
 2.70687E+02	 1.47982E+03
 2.73550E+02	 1.48542E+03
 2.76413E+02	 1.47830E+03
 2.79275E+02	 1.48440E+03
 2.82135E+02	 1.48286E+03
 2.84995E+02	 1.48448E+03
 2.87854E+02	 1.47976E+03
 2.90711E+02	 1.48496E+03
 2.93568E+02	 1.48456E+03
 2.96424E+02	 1.48152E+03
 2.99279E+02	 1.47950E+03
 3.02133E+02	 1.47588E+03
 3.04986E+02	 1.48006E+03
 3.07838E+02	 1.47744E+03
 3.10689E+02	 1.47368E+03
 3.13538E+02	 1.47416E+03
 3.16387E+02	 1.47906E+03
 3.19236E+02	 1.47768E+03
 3.22083E+02	 1.47444E+03
 3.24929E+02	 1.47220E+03
 3.27774E+02	 1.47336E+03
 3.30618E+02	 1.47780E+03
 3.33461E+02	 1.46976E+03
 3.36303E+02	 1.47436E+03
 3.39145E+02	 1.47134E+03
 3.41985E+02	 1.47074E+03
 3.44824E+02	 1.47166E+03
 3.47663E+02	 1.46882E+03
 3.50500E+02	 1.47196E+03
 3.53336E+02	 1.47116E+03
 3.56172E+02	 1.47448E+03
 3.59006E+02	 1.47198E+03
 3.61840E+02	 1.47004E+03
 3.64672E+02	 1.46936E+03
 3.67504E+02	 1.47188E+03
 3.70335E+02	 1.47130E+03
 3.73164E+02	 1.47118E+03
 3.75993E+02	 1.47292E+03
 3.78821E+02	 1.47158E+03
 3.81648E+02	 1.47352E+03
 3.84473E+02	 1.47140E+03
 3.87298E+02	 1.47028E+03
 3.90122E+02	 1.46826E+03
 3.92945E+02	 1.47458E+03
 3.95767E+02	 1.47036E+03
 3.98588E+02	 1.47232E+03
 4.01408E+02	 1.47234E+03
 4.04227E+02	 1.47124E+03
 4.07046E+02	 1.47206E+03
 4.09863E+02	 1.47174E+03
 4.12679E+02	 1.47108E+03
 4.15494E+02	 1.47066E+03
 4.18309E+02	 1.47010E+03
 4.21122E+02	 1.47010E+03
 4.23935E+02	 1.47060E+03
 4.26746E+02	 1.47310E+03
 4.29557E+02	 1.46926E+03
 4.32366E+02	 1.47562E+03
 4.35175E+02	 1.47230E+03
 4.37983E+02	 1.47294E+03
 4.40790E+02	 1.47604E+03
 4.43595E+02	 1.47168E+03
 4.46400E+02	 1.47712E+03
 4.49204E+02	 1.47454E+03
 4.52007E+02	 1.47802E+03
 4.54809E+02	 1.47996E+03
 4.57610E+02	 1.47990E+03
 4.60410E+02	 1.48494E+03
 4.63210E+02	 1.48420E+03
 4.66008E+02	 1.48640E+03
 4.68805E+02	 1.49304E+03
 4.71602E+02	 1.49288E+03
 4.74397E+02	 1.50320E+03
 4.77192E+02	 1.50892E+03
 4.79985E+02	 1.51648E+03
 4.82778E+02	 1.52182E+03
 4.85569E+02	 1.52720E+03
 4.88360E+02	 1.53188E+03
 4.91150E+02	 1.52136E+03
 4.93939E+02	 1.52258E+03
 4.96727E+02	 1.51610E+03
 4.99514E+02	 1.50704E+03
 5.02300E+02	 1.50000E+03
 5.05085E+02	 1.49736E+03
 5.07869E+02	 1.49074E+03
 5.10652E+02	 1.48850E+03
 5.13435E+02	 1.48534E+03
 5.16216E+02	 1.48718E+03
 5.18996E+02	 1.48436E+03
 5.21776E+02	 1.48330E+03
 5.24554E+02	 1.47950E+03
 5.27332E+02	 1.48084E+03
 5.30109E+02	 1.48202E+03
 5.32885E+02	 1.48180E+03
 5.35659E+02	 1.48292E+03
 5.38433E+02	 1.47990E+03
 5.41206E+02	 1.47818E+03
 5.43978E+02	 1.47868E+03
 5.46750E+02	 1.47148E+03
 5.49520E+02	 1.47280E+03
 5.52289E+02	 1.47682E+03
 5.55057E+02	 1.47474E+03
 5.57825E+02	 1.47002E+03
 5.60591E+02	 1.46574E+03
 5.63357E+02	 1.46880E+03
 5.66122E+02	 1.46988E+03
 5.68885E+02	 1.47028E+03
 5.71648E+02	 1.46582E+03
 5.74410E+02	 1.46610E+03
 5.77171E+02	 1.46558E+03
 5.79931E+02	 1.46414E+03
 5.82690E+02	 1.46494E+03
