//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Si 750 2,5dpa anneal.wip
GraphName = REFEL Si 750 2,5dpa--Spectrum--002--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 3143.30000002328
PositionY = 9653.70000002328
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Si 750 2,5dpa--Spectrum--002--Spec.Data 1
 2.65845E+01	 1.34768E+03
 2.95325E+01	 1.34660E+03
 3.24795E+01	 1.34672E+03
 3.54254E+01	 1.34578E+03
 3.83703E+01	 1.34708E+03
 4.13142E+01	 1.34758E+03
 4.42570E+01	 1.34614E+03
 4.71989E+01	 1.34666E+03
 5.01397E+01	 1.34708E+03
 5.30795E+01	 1.34726E+03
 5.60182E+01	 1.34738E+03
 5.89559E+01	 1.35038E+03
 6.18927E+01	 1.35886E+03
 6.48283E+01	 1.37538E+03
 6.77630E+01	 1.39748E+03
 7.06967E+01	 1.42644E+03
 7.36293E+01	 1.44540E+03
 7.65609E+01	 1.45726E+03
 7.94915E+01	 1.46162E+03
 8.24211E+01	 1.46554E+03
 8.53496E+01	 1.46908E+03
 8.82771E+01	 1.46962E+03
 9.12037E+01	 1.47770E+03
 9.41292E+01	 1.48006E+03
 9.70536E+01	 1.48644E+03
 9.99771E+01	 1.49048E+03
 1.02900E+02	 1.49010E+03
 1.05821E+02	 1.49546E+03
 1.08741E+02	 1.49940E+03
 1.11661E+02	 1.50404E+03
 1.14579E+02	 1.50864E+03
 1.17497E+02	 1.51616E+03
 1.20413E+02	 1.52500E+03
 1.23328E+02	 1.52996E+03
 1.26243E+02	 1.53900E+03
 1.29156E+02	 1.54860E+03
 1.32068E+02	 1.55002E+03
 1.34980E+02	 1.55732E+03
 1.37890E+02	 1.56792E+03
 1.40799E+02	 1.57780E+03
 1.43708E+02	 1.59410E+03
 1.46615E+02	 1.60298E+03
 1.49521E+02	 1.60908E+03
 1.52427E+02	 1.61676E+03
 1.55331E+02	 1.62348E+03
 1.58234E+02	 1.63756E+03
 1.61137E+02	 1.64348E+03
 1.64038E+02	 1.64966E+03
 1.66938E+02	 1.65896E+03
 1.69837E+02	 1.66760E+03
 1.72736E+02	 1.67846E+03
 1.75633E+02	 1.68044E+03
 1.78529E+02	 1.68440E+03
 1.81425E+02	 1.69222E+03
 1.84319E+02	 1.69578E+03
 1.87212E+02	 1.69990E+03
 1.90105E+02	 1.70214E+03
 1.92996E+02	 1.69866E+03
 1.95886E+02	 1.70728E+03
 1.98775E+02	 1.70362E+03
 2.01664E+02	 1.70814E+03
 2.04551E+02	 1.71034E+03
 2.07437E+02	 1.70744E+03
 2.10323E+02	 1.71138E+03
 2.13207E+02	 1.70966E+03
 2.16090E+02	 1.71346E+03
 2.18973E+02	 1.70562E+03
 2.21854E+02	 1.70900E+03
 2.24735E+02	 1.70142E+03
 2.27614E+02	 1.70026E+03
 2.30492E+02	 1.70800E+03
 2.33370E+02	 1.70178E+03
 2.36246E+02	 1.69742E+03
 2.39122E+02	 1.70244E+03
 2.41996E+02	 1.70120E+03
 2.44870E+02	 1.69850E+03
 2.47742E+02	 1.70322E+03
 2.50614E+02	 1.70572E+03
 2.53484E+02	 1.70946E+03
 2.56354E+02	 1.70416E+03
 2.59222E+02	 1.70234E+03
 2.62090E+02	 1.70868E+03
 2.64956E+02	 1.70820E+03
 2.67822E+02	 1.70764E+03
 2.70687E+02	 1.70394E+03
 2.73550E+02	 1.70218E+03
 2.76413E+02	 1.70858E+03
 2.79275E+02	 1.69546E+03
 2.82135E+02	 1.69712E+03
 2.84995E+02	 1.69758E+03
 2.87854E+02	 1.68976E+03
 2.90711E+02	 1.69564E+03
 2.93568E+02	 1.68978E+03
 2.96424E+02	 1.67834E+03
 2.99279E+02	 1.68338E+03
 3.02133E+02	 1.68128E+03
 3.04986E+02	 1.67776E+03
 3.07838E+02	 1.67770E+03
 3.10689E+02	 1.67528E+03
 3.13538E+02	 1.67350E+03
 3.16387E+02	 1.67078E+03
 3.19236E+02	 1.67204E+03
 3.22083E+02	 1.66924E+03
 3.24929E+02	 1.66842E+03
 3.27774E+02	 1.66432E+03
 3.30618E+02	 1.66510E+03
 3.33461E+02	 1.65896E+03
 3.36303E+02	 1.65922E+03
 3.39145E+02	 1.65838E+03
