//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Si 750 2,5dpa anneal.wip
GraphName = REFEL Si 750 2,5dpa RT End No Window--Spectrum--029--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 3511.70000002328
PositionY = 9787.40000002328
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Si 750 2,5dpa RT End No Window--Spectrum--029--Spec.Data 1
 2.65845E+01	 1.34728E+03
 2.95325E+01	 1.34704E+03
 3.24795E+01	 1.34734E+03
 3.54254E+01	 1.34862E+03
 3.83703E+01	 1.34724E+03
 4.13142E+01	 1.34786E+03
 4.42570E+01	 1.34882E+03
 4.71989E+01	 1.34806E+03
 5.01397E+01	 1.34798E+03
 5.30795E+01	 1.35044E+03
 5.60182E+01	 1.35720E+03
 5.89559E+01	 1.38058E+03
 6.18927E+01	 1.44782E+03
 6.48283E+01	 1.60672E+03
 6.77630E+01	 1.82710E+03
 7.06967E+01	 2.07304E+03
 7.36293E+01	 2.26692E+03
 7.65609E+01	 2.36762E+03
 7.94915E+01	 2.41756E+03
 8.24211E+01	 2.44554E+03
 8.53496E+01	 2.45332E+03
 8.82771E+01	 2.49192E+03
 9.12037E+01	 2.51930E+03
 9.41292E+01	 2.55414E+03
 9.70536E+01	 2.56864E+03
 9.99771E+01	 2.59832E+03
 1.02900E+02	 2.61212E+03
 1.05821E+02	 2.62278E+03
 1.08741E+02	 2.64318E+03
 1.11661E+02	 2.66100E+03
 1.14579E+02	 2.68910E+03
 1.17497E+02	 2.73440E+03
 1.20413E+02	 2.76214E+03
 1.23328E+02	 2.79054E+03
 1.26243E+02	 2.84666E+03
 1.29156E+02	 2.87370E+03
 1.32068E+02	 2.91676E+03
 1.34980E+02	 2.93966E+03
 1.37890E+02	 2.98038E+03
 1.40799E+02	 3.01010E+03
 1.43708E+02	 3.05616E+03
 1.46615E+02	 3.13544E+03
 1.49521E+02	 3.20128E+03
 1.52427E+02	 3.27966E+03
 1.55331E+02	 3.28816E+03
 1.58234E+02	 3.30368E+03
 1.61137E+02	 3.31566E+03
 1.64038E+02	 3.34134E+03
 1.66938E+02	 3.36354E+03
 1.69837E+02	 3.38616E+03
 1.72736E+02	 3.42036E+03
 1.75633E+02	 3.46460E+03
 1.78529E+02	 3.47778E+03
 1.81425E+02	 3.50804E+03
 1.84319E+02	 3.52108E+03
 1.87212E+02	 3.53634E+03
 1.90105E+02	 3.57176E+03
 1.92996E+02	 3.56660E+03
 1.95886E+02	 3.59106E+03
 1.98775E+02	 3.59660E+03
 2.01664E+02	 3.61014E+03
 2.04551E+02	 3.61502E+03
 2.07437E+02	 3.61042E+03
 2.10323E+02	 3.60846E+03
 2.13207E+02	 3.63006E+03
 2.16090E+02	 3.60570E+03
 2.18973E+02	 3.60900E+03
 2.21854E+02	 3.59524E+03
 2.24735E+02	 3.57404E+03
 2.27614E+02	 3.58888E+03
 2.30492E+02	 3.57306E+03
 2.33370E+02	 3.58006E+03
 2.36246E+02	 3.55966E+03
 2.39122E+02	 3.56268E+03
 2.41996E+02	 3.56496E+03
 2.44870E+02	 3.56606E+03
 2.47742E+02	 3.56428E+03
 2.50614E+02	 3.58026E+03
 2.53484E+02	 3.58006E+03
 2.56354E+02	 3.56678E+03
 2.59222E+02	 3.57108E+03
 2.62090E+02	 3.58450E+03
 2.64956E+02	 3.57200E+03
 2.67822E+02	 3.56750E+03
 2.70687E+02	 3.53624E+03
 2.73550E+02	 3.52218E+03
 2.76413E+02	 3.49450E+03
 2.79275E+02	 3.48116E+03
 2.82135E+02	 3.44948E+03
 2.84995E+02	 3.44442E+03
 2.87854E+02	 3.41394E+03
 2.90711E+02	 3.39946E+03
 2.93568E+02	 3.37982E+03
 2.96424E+02	 3.36586E+03
 2.99279E+02	 3.36844E+03
 3.02133E+02	 3.34794E+03
 3.04986E+02	 3.36094E+03
 3.07838E+02	 3.33628E+03
 3.10689E+02	 3.32912E+03
 3.13538E+02	 3.32124E+03
 3.16387E+02	 3.32290E+03
 3.19236E+02	 3.32406E+03
 3.22083E+02	 3.31276E+03
 3.24929E+02	 3.29642E+03
 3.27774E+02	 3.27784E+03
 3.30618E+02	 3.28428E+03
 3.33461E+02	 3.27226E+03
 3.36303E+02	 3.27358E+03
 3.39145E+02	 3.26850E+03
 3.41985E+02	 3.26540E+03
 3.44824E+02	 3.27186E+03
 3.47663E+02	 3.26264E+03
 3.50500E+02	 3.26384E+03
 3.53336E+02	 3.26428E+03
 3.56172E+02	 3.25606E+03
 3.59006E+02	 3.26148E+03
 3.61840E+02	 3.26180E+03
 3.64672E+02	 3.26170E+03
 3.67504E+02	 3.26508E+03
 3.70335E+02	 3.26254E+03
 3.73164E+02	 3.27404E+03
 3.75993E+02	 3.27898E+03
 3.78821E+02	 3.26088E+03
 3.81648E+02	 3.26444E+03
 3.84473E+02	 3.26724E+03
 3.87298E+02	 3.26232E+03
 3.90122E+02	 3.24948E+03
 3.92945E+02	 3.24830E+03
 3.95767E+02	 3.24844E+03
 3.98588E+02	 3.24816E+03
 4.01408E+02	 3.23624E+03
 4.04227E+02	 3.24862E+03
 4.07046E+02	 3.24526E+03
 4.09863E+02	 3.25094E+03
 4.12679E+02	 3.25204E+03
 4.15494E+02	 3.25100E+03
 4.18309E+02	 3.27070E+03
 4.21122E+02	 3.26402E+03
 4.23935E+02	 3.27422E+03
 4.26746E+02	 3.28394E+03
 4.29557E+02	 3.27726E+03
 4.32366E+02	 3.28164E+03
 4.35175E+02	 3.27908E+03
 4.37983E+02	 3.28826E+03
 4.40790E+02	 3.30304E+03
 4.43595E+02	 3.29930E+03
 4.46400E+02	 3.30352E+03
 4.49204E+02	 3.30064E+03
 4.52007E+02	 3.30520E+03
 4.54809E+02	 3.30238E+03
 4.57610E+02	 3.31178E+03
 4.60410E+02	 3.28980E+03
 4.63210E+02	 3.27788E+03
 4.66008E+02	 3.28928E+03
 4.68805E+02	 3.27938E+03
 4.71602E+02	 3.29980E+03
 4.74397E+02	 3.28438E+03
 4.77192E+02	 3.31272E+03
 4.79985E+02	 3.31978E+03
 4.82778E+02	 3.33788E+03
 4.85569E+02	 3.36362E+03
 4.88360E+02	 3.38978E+03
 4.91150E+02	 3.41220E+03
 4.93939E+02	 3.43652E+03
 4.96727E+02	 3.49606E+03
 4.99514E+02	 3.52482E+03
 5.02300E+02	 3.58820E+03
 5.05085E+02	 3.65144E+03
 5.07869E+02	 3.74104E+03
 5.10652E+02	 3.85346E+03
 5.13435E+02	 4.02584E+03
 5.16216E+02	 4.18568E+03
 5.18996E+02	 4.30328E+03
 5.21776E+02	 4.34536E+03
 5.24554E+02	 4.32128E+03
 5.27332E+02	 4.25516E+03
 5.30109E+02	 4.19324E+03
 5.32885E+02	 4.13258E+03
 5.35659E+02	 4.07536E+03
 5.38433E+02	 4.02258E+03
 5.41206E+02	 3.99514E+03
 5.43978E+02	 3.97410E+03
 5.46750E+02	 3.95014E+03
 5.49520E+02	 3.91414E+03
 5.52289E+02	 3.87388E+03
 5.55057E+02	 3.84668E+03
 5.57825E+02	 3.84108E+03
 5.60591E+02	 3.82704E+03
 5.63357E+02	 3.82118E+03
 5.66122E+02	 3.80052E+03
 5.68885E+02	 3.78804E+03
 5.71648E+02	 3.76736E+03
 5.74410E+02	 3.74984E+03
 5.77171E+02	 3.68742E+03
 5.79931E+02	 3.64712E+03
 5.82690E+02	 3.58720E+03
 5.85448E+02	 3.53156E+03
 5.88206E+02	 3.46924E+03
 5.90962E+02	 3.40064E+03
 5.93717E+02	 3.35282E+03
 5.96472E+02	 3.30550E+03
