//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Si 750 2,5dpa anneal.wip
GraphName = REFEL Si 750 2,5dpa RT End No Window--Spectrum--030--Spec.Data 1 DAN
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 3972.40000002328
PositionY = 10071.2000000233
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Si 750 2,5dpa RT End No Window--Spectrum--030--Spec.Data 1 DAN
 2.65845E+01	 1.34724E+03
 2.95325E+01	 1.34814E+03
 3.24795E+01	 1.34700E+03
 3.54254E+01	 1.34754E+03
 3.83703E+01	 1.34650E+03
 4.13142E+01	 1.34784E+03
 4.42570E+01	 1.34648E+03
 4.71989E+01	 1.34750E+03
 5.01397E+01	 1.34798E+03
 5.30795E+01	 1.34740E+03
 5.60182E+01	 1.35104E+03
 5.89559E+01	 1.35580E+03
 6.18927E+01	 1.37100E+03
 6.48283E+01	 1.40980E+03
 6.77630E+01	 1.46952E+03
 7.06967E+01	 1.52342E+03
 7.36293E+01	 1.57720E+03
 7.65609E+01	 1.60574E+03
 7.94915E+01	 1.61806E+03
 8.24211E+01	 1.62440E+03
 8.53496E+01	 1.62546E+03
 8.82771E+01	 1.63800E+03
 9.12037E+01	 1.64432E+03
 9.41292E+01	 1.65294E+03
 9.70536E+01	 1.65836E+03
 9.99771E+01	 1.65970E+03
 1.02900E+02	 1.66272E+03
 1.05821E+02	 1.67010E+03
 1.08741E+02	 1.67958E+03
 1.11661E+02	 1.68270E+03
 1.14579E+02	 1.68792E+03
 1.17497E+02	 1.69884E+03
 1.20413E+02	 1.70906E+03
 1.23328E+02	 1.72276E+03
 1.26243E+02	 1.74176E+03
 1.29156E+02	 1.75776E+03
 1.32068E+02	 1.76092E+03
 1.34980E+02	 1.76496E+03
 1.37890E+02	 1.76666E+03
 1.40799E+02	 1.77124E+03
 1.43708E+02	 1.78652E+03
 1.46615E+02	 1.79440E+03
 1.49521E+02	 1.80776E+03
 1.52427E+02	 1.81896E+03
 1.55331E+02	 1.82506E+03
 1.58234E+02	 1.83848E+03
 1.61137E+02	 1.85852E+03
 1.64038E+02	 1.85704E+03
 1.66938E+02	 1.87098E+03
 1.69837E+02	 1.87938E+03
 1.72736E+02	 1.88886E+03
 1.75633E+02	 1.89484E+03
 1.78529E+02	 1.90322E+03
 1.81425E+02	 1.91240E+03
 1.84319E+02	 1.91562E+03
 1.87212E+02	 1.92310E+03
 1.90105E+02	 1.93000E+03
 1.92996E+02	 1.93116E+03
 1.95886E+02	 1.93674E+03
 1.98775E+02	 1.94322E+03
 2.01664E+02	 1.94578E+03
 2.04551E+02	 1.95302E+03
 2.07437E+02	 1.94668E+03
 2.10323E+02	 1.94164E+03
 2.13207E+02	 1.94290E+03
 2.16090E+02	 1.94590E+03
 2.18973E+02	 1.94268E+03
 2.21854E+02	 1.94568E+03
 2.24735E+02	 1.93492E+03
 2.27614E+02	 1.93482E+03
 2.30492E+02	 1.93132E+03
 2.33370E+02	 1.92640E+03
 2.36246E+02	 1.92994E+03
 2.39122E+02	 1.93176E+03
 2.41996E+02	 1.92978E+03
 2.44870E+02	 1.92100E+03
 2.47742E+02	 1.92300E+03
 2.50614E+02	 1.92264E+03
 2.53484E+02	 1.92018E+03
 2.56354E+02	 1.91484E+03
 2.59222E+02	 1.92180E+03
 2.62090E+02	 1.92508E+03
 2.64956E+02	 1.92164E+03
 2.67822E+02	 1.91826E+03
 2.70687E+02	 1.90916E+03
 2.73550E+02	 1.90636E+03
 2.76413E+02	 1.89830E+03
 2.79275E+02	 1.90058E+03
 2.82135E+02	 1.89068E+03
 2.84995E+02	 1.88650E+03
 2.87854E+02	 1.87726E+03
 2.90711E+02	 1.87040E+03
 2.93568E+02	 1.86586E+03
 2.96424E+02	 1.86770E+03
 2.99279E+02	 1.86664E+03
 3.02133E+02	 1.86778E+03
 3.04986E+02	 1.85902E+03
 3.07838E+02	 1.86436E+03
 3.10689E+02	 1.86088E+03
 3.13538E+02	 1.86132E+03
 3.16387E+02	 1.85804E+03
 3.19236E+02	 1.85020E+03
 3.22083E+02	 1.84998E+03
 3.24929E+02	 1.85096E+03
 3.27774E+02	 1.85424E+03
 3.30618E+02	 1.85474E+03
 3.33461E+02	 1.84972E+03
 3.36303E+02	 1.84058E+03
 3.39145E+02	 1.84576E+03
 3.41985E+02	 1.84658E+03
 3.44824E+02	 1.84264E+03
 3.47663E+02	 1.83684E+03
 3.50500E+02	 1.83920E+03
 3.53336E+02	 1.85202E+03
 3.56172E+02	 1.83868E+03
 3.59006E+02	 1.84778E+03
 3.61840E+02	 1.84638E+03
 3.64672E+02	 1.85080E+03
 3.67504E+02	 1.84710E+03
 3.70335E+02	 1.84602E+03
 3.73164E+02	 1.85102E+03
 3.75993E+02	 1.84932E+03
 3.78821E+02	 1.84832E+03
 3.81648E+02	 1.84770E+03
 3.84473E+02	 1.84940E+03
 3.87298E+02	 1.84672E+03
 3.90122E+02	 1.84524E+03
 3.92945E+02	 1.85374E+03
 3.95767E+02	 1.83384E+03
 3.98588E+02	 1.84556E+03
 4.01408E+02	 1.84836E+03
 4.04227E+02	 1.84750E+03
 4.07046E+02	 1.83966E+03
 4.09863E+02	 1.84392E+03
 4.12679E+02	 1.84540E+03
 4.15494E+02	 1.84068E+03
 4.18309E+02	 1.84352E+03
 4.21122E+02	 1.85008E+03
 4.23935E+02	 1.84754E+03
 4.26746E+02	 1.85278E+03
 4.29557E+02	 1.85432E+03
 4.32366E+02	 1.85678E+03
 4.35175E+02	 1.85526E+03
 4.37983E+02	 1.85612E+03
 4.40790E+02	 1.85566E+03
 4.43595E+02	 1.86178E+03
 4.46400E+02	 1.86154E+03
 4.49204E+02	 1.86746E+03
 4.52007E+02	 1.86818E+03
 4.54809E+02	 1.86706E+03
 4.57610E+02	 1.86438E+03
 4.60410E+02	 1.86182E+03
 4.63210E+02	 1.86608E+03
 4.66008E+02	 1.86112E+03
 4.68805E+02	 1.85926E+03
 4.71602E+02	 1.86284E+03
 4.74397E+02	 1.85658E+03
 4.77192E+02	 1.86156E+03
 4.79985E+02	 1.86720E+03
 4.82778E+02	 1.86892E+03
 4.85569E+02	 1.87846E+03
 4.88360E+02	 1.89224E+03
 4.91150E+02	 1.89428E+03
 4.93939E+02	 1.89658E+03
 4.96727E+02	 1.90928E+03
 4.99514E+02	 1.91466E+03
 5.02300E+02	 1.92420E+03
 5.05085E+02	 1.94200E+03
 5.07869E+02	 1.94162E+03
 5.10652E+02	 1.95162E+03
 5.13435E+02	 1.97562E+03
 5.16216E+02	 1.97838E+03
 5.18996E+02	 1.98324E+03
 5.21776E+02	 2.00064E+03
 5.24554E+02	 1.99578E+03
 5.27332E+02	 2.00732E+03
 5.30109E+02	 2.00798E+03
 5.32885E+02	 2.00298E+03
 5.35659E+02	 2.00188E+03
 5.38433E+02	 2.00468E+03
 5.41206E+02	 2.00512E+03
 5.43978E+02	 1.99542E+03
 5.46750E+02	 1.99326E+03
 5.49520E+02	 1.99430E+03
 5.52289E+02	 1.98628E+03
 5.55057E+02	 1.98468E+03
 5.57825E+02	 1.98166E+03
 5.60591E+02	 1.97846E+03
 5.63357E+02	 1.97284E+03
 5.66122E+02	 1.97660E+03
 5.68885E+02	 1.96446E+03
 5.71648E+02	 1.96116E+03
 5.74410E+02	 1.95450E+03
 5.77171E+02	 1.94494E+03
 5.79931E+02	 1.93552E+03
 5.82690E+02	 1.92062E+03
 5.85448E+02	 1.90402E+03
 5.88206E+02	 1.88794E+03
 5.90962E+02	 1.86862E+03
 5.93717E+02	 1.86102E+03
 5.96472E+02	 1.84426E+03
 5.99225E+02	 1.83332E+03
 6.01978E+02	 1.81862E+03
 6.04730E+02	 1.80822E+03
 6.07481E+02	 1.79414E+03
 6.10231E+02	 1.78646E+03
 6.12980E+02	 1.76558E+03
 6.15728E+02	 1.76006E+03
 6.18475E+02	 1.75680E+03
 6.21221E+02	 1.74928E+03
 6.23967E+02	 1.73812E+03
 6.26711E+02	 1.73006E+03
 6.29454E+02	 1.73156E+03
 6.32197E+02	 1.71988E+03
 6.34939E+02	 1.71550E+03
 6.37680E+02	 1.72640E+03
 6.40419E+02	 1.71680E+03
 6.43158E+02	 1.72238E+03
 6.45896E+02	 1.73342E+03
 6.48634E+02	 1.73356E+03
 6.51370E+02	 1.73364E+03
 6.54105E+02	 1.75056E+03
 6.56840E+02	 1.74942E+03
 6.59573E+02	 1.75894E+03
 6.62306E+02	 1.76968E+03
 6.65037E+02	 1.77404E+03
 6.67768E+02	 1.77838E+03
 6.70498E+02	 1.77288E+03
 6.73227E+02	 1.76054E+03
 6.75955E+02	 1.74524E+03
 6.78682E+02	 1.74056E+03
 6.81409E+02	 1.74106E+03
 6.84134E+02	 1.73980E+03
 6.86858E+02	 1.73726E+03
 6.89582E+02	 1.73974E+03
 6.92305E+02	 1.74010E+03
 6.95026E+02	 1.74444E+03
 6.97747E+02	 1.74988E+03
 7.00467E+02	 1.75520E+03
 7.03186E+02	 1.76398E+03
 7.05905E+02	 1.76948E+03
 7.08622E+02	 1.77340E+03
 7.11338E+02	 1.78146E+03
 7.14054E+02	 1.79422E+03
 7.16768E+02	 1.80192E+03
 7.19482E+02	 1.79726E+03
 7.22195E+02	 1.81088E+03
 7.24907E+02	 1.82274E+03
 7.27618E+02	 1.82240E+03
 7.30328E+02	 1.82776E+03
 7.33037E+02	 1.83378E+03
 7.35745E+02	 1.84778E+03
 7.38453E+02	 1.84854E+03
 7.41159E+02	 1.85984E+03
 7.43865E+02	 1.85586E+03
 7.46569E+02	 1.86914E+03
 7.49273E+02	 1.88364E+03
 7.51976E+02	 1.89636E+03
 7.54678E+02	 1.89944E+03
 7.57379E+02	 1.90386E+03
 7.60080E+02	 1.92008E+03
 7.62779E+02	 1.92822E+03
 7.65478E+02	 1.93878E+03
 7.68175E+02	 1.94682E+03
 7.70872E+02	 1.95316E+03
 7.73568E+02	 1.95476E+03
 7.76263E+02	 1.96666E+03
 7.78957E+02	 1.99210E+03
 7.81650E+02	 2.04700E+03
 7.84342E+02	 2.18104E+03
 7.87034E+02	 2.36282E+03
 7.89724E+02	 2.44492E+03
 7.92414E+02	 2.34612E+03
 7.95103E+02	 2.21424E+03
 7.97791E+02	 2.12478E+03
 8.00478E+02	 2.05224E+03
 8.03164E+02	 1.98446E+03
 8.05849E+02	 1.91992E+03
 8.08533E+02	 1.88892E+03
 8.11217E+02	 1.87034E+03
 8.13899E+02	 1.85854E+03
 8.16581E+02	 1.83684E+03
 8.19262E+02	 1.82346E+03
 8.21942E+02	 1.81822E+03
 8.24621E+02	 1.82100E+03
 8.27299E+02	 1.82734E+03
 8.29977E+02	 1.83034E+03
 8.32653E+02	 1.82932E+03
 8.35329E+02	 1.84702E+03
 8.38003E+02	 1.84660E+03
 8.40677E+02	 1.85652E+03
 8.43350E+02	 1.85494E+03
 8.46022E+02	 1.86168E+03
 8.48693E+02	 1.86072E+03
