#Wave;#Intensity
1998.90625;4795.371532
1997.375;4816.652831
1995.841797;4760.56875
1994.306641;4804.32456
1992.773438;4761.899023
1991.238281;4774.558495
1989.705078;4830.821681
1988.169922;4784.600489
1986.634766;4838.113917
1985.099609;4806.618702
1983.5625;4827.424903
1982.027344;4761.636866
1980.490234;4746.509278
1978.955078;4820.114894
1977.417969;4762.531347
1975.878906;4777.88247
1974.341797;4748.618847
1972.804688;4772.668359
1971.265625;4770.0625
1969.726562;4732.118944
1968.1875;4783.334133
1966.648438;4717.143116
1965.109375;4712.376417
1963.570312;4735.315771
1962.029297;4741.9521
1960.488281;4736.096096
1958.947266;4770.416602
1957.40625;4777.583741
1955.865234;4706.060009
1954.324219;4712.151514
1952.78125;4761.09375
1951.240234;4775.848438
1949.697266;4786.80132
1948.154297;4743.537355
1946.609375;4769.668068
1945.066406;4724.257276
1943.523438;4797.515968
1941.978516;4726.116994
1940.433594;4722.442676
1938.888672;4773.997949
1937.34375;4835.275634
1935.798828;4789.364454
1934.251953;4810.570559
1932.705078;4778.207518
1931.160156;4826.99287
1929.613281;4869.809081
1928.066406;4840.156496
1926.517578;4968.361769
1924.970703;4953.292971
1923.421875;4960.38423
1921.873047;5022.57622
1920.324219;5005.884569
1918.775391;4953.018165
1917.226562;4949.844239
1915.677734;4976.360158
1914.126953;5024.452346
1912.576172;5037.991602
1911.025391;4991.64497
1909.474609;5008.960401
1907.923828;4996.071241
1906.373047;5009.064991
1904.820312;4989.711769
1903.267578;4982.761669
1901.716797;5008.680471
1900.162109;5028.66294
1898.609375;5019.01504
1897.056641;5059.448244
1895.501953;4973.350634
1893.949219;5003.011083
1892.394531;5011.671875
1890.839844;5010.644433
1889.285156;5069.863477
1887.728516;4986.539551
1886.173828;5052.728856
1884.617188;5015.136669
1883.060547;5010.88335
1881.503906;5054.993944
1879.947266;5058.792333
1878.390625;5037.34287
1876.832031;5027.716845
1875.273438;5052.994433
1873.716797;5017.064406
1872.158203;4997.78706
1870.597656;5017.151906
1869.039062;5032.752883
1867.480469;4997.391945
1865.919922;5037.122069
1864.359375;5031.262306
1862.798828;5017.36416
1861.238281;4994.360889
1859.677734;5052.275634
1858.115234;5034.095119
1856.554688;5009.49463
1854.992188;4994.00747
1853.429688;4968.88916
1851.867188;5066.358693
1850.302734;4964.172021
1848.740234;5001.675683
1847.175781;4953.572901
1845.611328;4939.718847
1844.048828;4987.898195
1842.482422;4981.526757
1840.917969;4993.331056
1839.353516;4994.442236
1837.787109;4948.535498
1836.220703;4932.027051
1834.654297;4964.658741
1833.087891;5041.061281
1831.521484;4989.843019
1829.955078;4972.804785
1828.386719;5031.014503
1826.818359;4939.282033
1825.25;4967.069776
1823.681641;4953.248535
1822.113281;4980.48838
1820.542969;4953.34287
1818.974609;4933.669727
1817.404297;4969.954199
1815.833984;5018.476708
1814.263672;5005.725634
1812.693359;4973.276123
1811.121094;4969.590185
1809.550781;4961.114648
1807.978516;4996.282813
1806.40625;4981.419776
1804.833984;4909.640383
1803.261719;4895.8646
1801.6875;4955.476708
1800.115234;4909.265771
1798.541016;4890.181884
1796.966797;4952.414894
1795.392578;4917.389943
1793.818359;4933.906593
1792.242188;4886.683935
1790.667969;4966.387892
1789.091797;5008.896827
1787.515625;4891.093799
1785.939453;4952.173583
1784.363281;4850.877637
1782.785156;4966.57588
1781.208984;4882.288768
1779.630859;4973.011572
1778.052734;4953.961866
1776.474609;4936.510058
1774.896484;4920.654785
1773.318359;4907.984375
1771.738281;4911.739014
1770.158203;4966.860255
1768.578125;4929.302588
1766.998047;4880.114257
1765.417969;4958.494093
1763.837891;4918.314846
1762.255859;5019.401611
1760.673828;5013.07666
1759.091797;4914.212258
1757.509766;4957.079736
1755.927734;4968.742531
1754.345703;4920.68213
1752.761719;4962.464063
1751.177734;4951.930568
1749.59375;4998.970018
1748.009766;4985.264309
1746.425781;5024.357667
1744.841797;4981.093702
1743.255859;4964.233204
1741.669922;4998.55747
1740.083984;5021.262012
1738.498047;5029.717382
1736.912109;5043.969287
1735.326172;5066.64956
1733.738281;5077.724806
1732.150391;5100.388332
1730.5625;5135.686378
1728.974609;5125.14331
1727.386719;5143.568896
1725.796875;5210.952782
1724.208984;5241.459864
1722.619141;5316.162989
1721.029297;5327.166114
1719.439453;5294.499221
1717.849609;5376.50791
1716.257812;5492.66382
1714.667969;5449.992531
1713.076172;5538.225
1711.484375;5536.553614
1709.892578;5453.44092
1708.300781;5490.660546
1706.707031;5410.742285
1705.115234;5426.425634
1703.521484;5306.128517
1701.927734;5327.075194
1700.333984;5250.404345
1698.738281;5160.648143
1697.144531;5238.78838
1695.548828;5133.861866
1693.953125;5166.88081
1692.357422;5071.972707
1690.761719;5158.451417
1689.166016;5168.911083
1687.568359;5152.123046
1685.972656;5096.056396
1684.375;5164.651611
1682.777344;5101.274952
1681.179688;5092.365674
1679.582031;5011.758693
1677.982422;5029.03379
1676.382812;4900.342822
1674.783203;4919.202491
1673.183594;4849.155665
1671.583984;4786.979736
1669.984375;4780.237109
1668.382812;4711.829542
1666.783203;4696.745018
1665.181641;4663.38257
1663.580078;4646.224366
1661.978516;4629.595607
1660.375;4607.230471
1658.773438;4663.689846
1657.169922;4677.855616
1655.566406;4642.971827
1653.962891;4751.029542
1652.359375;4681.202491
1650.753906;4652.074221
1649.150391;4764.23247
1647.544922;4737.704591
1645.939453;4725.778271
1644.333984;4713.856396
1642.728516;4694.647069
1641.123047;4636.387795
1639.515625;4690.614551
1637.908203;4760.435449
1636.300781;4715.729445
1634.693359;4773.027245
1633.085938;4757.469336
1631.476562;4773.644873
1629.869141;4808.013574
1628.259766;4811.693702
1626.650391;4821.089697
1625.041016;4862.7021
1623.431641;4891.826954
1621.820312;4911.588966
1620.210938;4852.918508
1618.599609;4941.221387
1616.988281;4932.925977
1615.376953;4898.682033
1613.763672;4884.171044
1612.152344;4900.276514
1610.539062;4895.107518
1608.925781;4896.682518
1607.3125;4965.661232
1605.699219;4866.134081
1604.085938;4912.285207
1602.470703;4844.936866
1600.855469;4754.821096
1599.242188;4766.262746
1597.625;4777.181444
1596.009766;4817.088966
1594.394531;4787.098684
1592.777344;4788.689745
1591.162109;4762.856396
1589.544922;4840.496581
1587.927734;4783.630471
1586.308594;4740.232179
1584.691406;4809.555762
1583.072266;4896.94092
1581.455078;4954.316651
1579.835938;4994.101123
1578.214844;5032.835938
1576.595703;5001.833253
1574.976562;5080.824221
