Peak,Model,Center (cm⁻¹),FWHM (cm⁻¹),Area,Relative Intensity
1,voigt,454.99999999999994,99.99999999999999,0.09999999999999999,0.09999999999999999
2,voigt,515.0000000000324,99.99999999999999,0.39999999999999997,0.39999999999999997
3,voigt,555.0000000001495,99.99999999999999,0.19999999999999998,0.19999999999999998
4,voigt,685.0000000000001,99.99999999999999,0.09999999999999999,0.09999999999999999
5,voigt,735.0000000000001,99.99999999999999,0.44734704891318655,0.4473470489131866
6,voigt,778.2067366776034,10.422880131843431,0.10034020514584033,0.10034020514584033
7,voigt,825.0000000000001,43.35425994899479,0.22196500342058906,0.22196500342058906
8,voigt,881.656268811383,57.935742872137865,0.28310314115225477,0.28310314115225477
9,voigt,951.7215317000852,6.131343395631897,0.04871037736850908,0.04871037736850908
10,voigt,976.2630797748114,99.99999999999999,0.2797332984515316,0.2797332984515316
11,lorentz,1335.6939534367682,145.9980754172699,60.65670567456328,0.2644783698228002
12,lorentz,1434.9999999999998,199.99999999999997,251.32741228718342,0.7998907933415156
13,lorentz,1634.9999999999998,199.99999999999997,121.70100981745055,0.3873841553185878
