Peak,Model,Center (cm⁻¹),FWHM (cm⁻¹),Area,Relative Intensity
1,voigt,207.98447187480105,31.856262189146527,1.6996258192909137,0.042963144005138794
2,voigt,264.3168003425409,107.18748099757737,18.199936693876378,0.1423322505881437
3,voigt,463.90043857967044,99.10990694501447,7.188176468219967,0.05550867698300375
4,voigt,511.69872340597044,22.54197780284652,2.3446040974039777,0.07692522982746379
5,voigt,543.5379500747268,44.17480448065867,6.854270072436687,0.1157215858467817
6,voigt,585.0987234096092,46.2814116617965,1.374004149494065,0.022132968780792694
7,voigt,712.2634850863869,85.09936937701212,15.57856713157847,0.13755920022388002
8,lorentz,788.597780952951,8.902719394034305,1.2171845260153704,0.08581114530675386
9,lorentz,777.2787242972177,26.463943703933083,27.965422434168147,0.6682965856365792
10,lorentz,781.8046224203106,3.4550212645792966,0.43923257194691484,0.06802101244248024
11,gauss,760.4681898319861,50.98458529254557,16.785470985785278,0.3089376569772777
12,voigt,850.5536655476759,84.70959858571972,18.154221034351117,0.1607107679614785
13,voigt,950.8578480034306,22.601800616173072,6.026547089896488,0.195777340067494
14,voigt,932.623779306224,39.11492469838892,8.470113746089664,0.16044962882517091
15,gauss,902.6472784735637,67.3171202455,8.671983210076892,0.12093345012798762
16,voigt,868.173681527995,1.637717606206189,0.02237665200347173,0.003853689071631074
17,gauss,1131.4708599256342,235.47999999999996,11.440758026792137,0.045640986561732065
18,gauss,1202.5280445932187,4.9877259969670975,0.08206897205908566,0.014078418572131933
19,lorentz,1352.636831763073,136.9709032596243,16.62570717279083,0.07725093013493615
20,lorentz,1475.2352862578641,82.41385858418599,13.17168264687271,0.10171219510662102
21,lorentz,1577.351537325827,58.649641629887725,10.917897423134063,0.11846953295776035
