Peak,Model,Center (cm⁻¹),FWHM (cm⁻¹),Area,Relative Intensity
1,pvoigt,454.99999999999994,360.12906460867464,21.19691808408961,0.08456346837949079
2,pvoigt,531.2119105474467,58.41025974435722,2.039261288315891,0.050159358819586865
3,pvoigt,564.2582079263199,124.84222717977957,9.440812953420506,0.10864659604533941
4,pvoigt,720.0651665167549,113.51542279591223,7.901083149068109,0.09999999999999999
5,lorentz,769.4397311226768,52.703621480656835,25.80773316158863,0.3117378417094892
6,lorentz,796.7811923731505,15.852693967504463,20.240346069444115,0.8128211226296075
7,pvoigt,857.7902949699358,124.88177655762459,14.071502190123313,0.16188612702364638
8,pvoigt,908.8236423162124,114.49369283808014,16.47589538064553,0.20674532658162256
9,pvoigt,952.9178539377849,61.355409864785905,7.925742738990274,0.18559033201273428
10,lorentz,975.093729009015,12.213798688454707,9.746127606791756,0.507997364027798
11,lorentz,1369.9498559279718,120.05786256323358,35.600043010629285,0.188773069866758
12,lorentz,1600.7299333274432,85.87736708869461,32.05071440056232,0.23759599528512398
