Peak,Model,Center (cm⁻¹),FWHM (cm⁻¹),Area,Relative Intensity
1,voigt,209.34665692452393,25.91566608658947,0.11407003156392145,0.11407003156392145
2,voigt,266.76106497620196,48.33748366018228,0.139841303083217,0.139841303083217
3,voigt,439.90207941103347,23.966412979661282,0.06226103878513722,0.06226103878513721
4,voigt,527.4477707652331,32.61829071659617,0.30405576831641634,0.3040557683164163
5,voigt,567.4420595151547,34.82958612566358,0.2419108745996386,0.2419108745996386
6,voigt,667.1391184052676,9.89471807843962,0.08096498008494013,0.08096498008494013
7,voigt,655.7322539302933,10.342604466840076,0.05825959350024905,0.05825959350024905
8,lorentz,767.3816748387594,9.132049997289977,1.0122988932370236,0.07050242767973554
9,lorentz,787.8236455309051,7.1544914746000945,5.7662394528574765,0.4831062572124865
10,lorentz,797.5048420440281,7.8322405199234035,2.43785436716616,0.19789466927583235
11,gauss,770.3482056215771,88.1350098279879,47.82491422073313,0.5097239020522638
12,voigt,845.3010551733453,26.974296971329977,0.16133293619000935,0.16133293619000935
13,voigt,950.4007873444086,12.310303549864065,0.3202897788692939,0.3202897788692939
14,voigt,937.0758275839167,15.05321210588624,0.3218421790590609,0.3218421790590609
15,gauss,888.111391796905,80.3598315778586,43.72817213023262,0.5111929196596626
16,voigt,919.9999999998541,17.75534729417541,0.17188676064616357,0.17188676064616357
17,bwf,1213.5592957230726,199.9999999411342,19.236451866358173,0.04989730162396105
18,gauss,1088.4620669819906,105.63722718235587,7.366088380140398,0.0655047656801848
19,lorentz,1416.0145220291233,112.87725880816036,18.464244272902484,0.10413577317350528
