Peak,Model,Center (cm⁻¹),FWHM (cm⁻¹),Area,Relative Intensity
1,voigt,583.3841246074066,61.7216356960502,0.09999999999999999,0.09999999999999999
2,voigt,529.5820073847185,43.04634612746167,0.346028985015154,0.346028985015154
3,voigt,650.6638554512812,30.06279167234401,0.11257751418875107,0.11257751418875107
4,voigt,583.3290386919568,60.451697109992736,0.09999999999999999,0.09999999999999999
5,voigt,765.0093776023476,68.33380216627494,0.7737502009900405,0.7737502009900407
6,voigt,856.1739440197798,43.71617399760175,0.5999999999999999,0.5999999999999999
7,voigt,901.2861247472869,32.85376075981623,0.5737699990675046,0.5737699990675046
8,voigt,930.8367417667196,20.477058002430375,0.552488604402124,0.552488604402124
9,gauss,1082.15703327673,85.6170900287098,6.297647317550255,0.06909874119767641
10,gauss,1391.324734698564,206.32655455046293,52.83876734228584,0.24058114293845084
11,voigt,1200.0323522371916,62.662451416725524,0.03928160544933826,0.03928160544933826
12,voigt,1586.8541516203172,71.10990324608335,0.2626286282718976,0.2626286282718976
