Peak,Model,Center (cm⁻¹),FWHM (cm⁻¹),Area,Relative Intensity
1,voigt,207.9588052462695,23.528604544982823,0.09918025708393922,0.09918025708393922
2,voigt,272.06402246221904,53.366483421492006,0.18773381542606038,0.18773381542606038
3,voigt,432.75270861048176,19.53883170016178,0.061126128868618686,0.061126128868618686
4,voigt,522.8461742114966,19.1112368688127,0.32329362360080965,0.32329362360080965
5,voigt,558.4033322147741,38.30020905484008,0.34616449719728165,0.34616449719728165
6,voigt,662.3964347602071,17.303973071804577,0.16689947048929532,0.16689947048929532
7,voigt,610.0000000000001,25.208301633922648,0.041911440336474405,0.041911440336474405
8,lorentz,766.4022580926385,11.036676037180474,2.0398264101427737,0.1150096344713158
9,lorentz,787.4946986599015,5.547065936690111,2.6079061741433165,0.287296052138705
10,lorentz,792.0401511959205,21.175558404597254,7.236705067126393,0.217443366287458
11,gauss,765.7164437947241,82.43146427672633,49.66851681709681,0.5660299745323161
12,voigt,845.542119717255,33.77147533779081,0.35691177408693564,0.35691177408693564
13,voigt,952.2939152366298,14.449188144791506,0.5999999999999999,0.5999999999999999
14,voigt,936.8085780804138,15.73462136144731,0.42685044206169287,0.42685044206169287
15,gauss,892.4848784645844,70.33544869907888,44.922241655674185,0.5998106271819877
16,voigt,919.5226195560673,19.0229885291985,0.2323095646046794,0.2323095646046794
17,bwf,1200.9259999099118,199.99999999999923,30.191397949482337,0.07074352392484459
18,gauss,1093.4041999854715,89.02334401234587,7.159104490430108,0.07553938331494794
19,lorentz,1413.6727718895731,93.08478655595792,24.854315549486024,0.16993578466129702
