Peak,Model,Center (cm⁻¹),FWHM (cm⁻¹),Area,Relative Intensity
1,voigt,205.9392132780483,30.405895630178918,6.658088296547696,0.176521742343722
2,voigt,263.0188704418907,75.21428694456611,18.676698073777466,0.19999999999999998
3,voigt,515.1550437965493,31.688499891076013,11.289544203486932,0.26402490603870954
4,voigt,545.7614567163722,35.905598856319436,12.356321439141606,0.25550078431344403
5,voigt,582.1706341996094,48.87943748184324,9.971360427356876,0.1522580019763669
6,voigt,651.8295965417321,39.109611827160656,6.3852206560351865,0.12132777637902062
7,gauss,824.736033307514,2.354800000000003,0.1884085526921487,0.07466846841423098
8,lorentz,751.9940694718345,15.086638555867495,5.755810087943296,0.24287991448391125
9,lorentz,778.0375173058505,46.24276835804071,46.6593512389317,0.6413405716995473
10,lorentz,729.4698390376496,57.033785095609474,32.30579825360196,0.36027596375522897
11,voigt,829.669310244623,56.026350415871796,4.042436818828061e-34,5.37561910763838e-36
12,voigt,929.4765789649699,25.510489852032315,12.631236266347758,0.36426487717748735
13,voigt,904.9638351053751,34.40114186618423,17.18862898526539,0.37015850193472616
14,gauss,854.0665085991018,90.18556059898174,50.24223481114917,0.5233543838968221
15,voigt,879.3995672391823,1.8382677014880386,0.8973391976502102,0.1490554842369987
16,gauss,1199.3328418076392,135.42573505273631,6.350330322920544,0.044050213530121514
17,lorentz,1375.956712228795,134.4477076547631,40.23009272459922,0.19049236539360098
18,lorentz,1571.6121405171405,118.40410327721757,30.14417602602229,0.1620688785996989
