Peak,Model,Center (cm⁻¹),FWHM (cm⁻¹),Area,Relative Intensity
1,voigt,212.74684774346593,52.270725794487184,8.641652273743448,0.14089946596052746
2,voigt,272.585372972563,43.23738723764042,9.06775536489479,0.1612257846983666
3,voigt,516.2298316075976,24.163115653656888,7.720451431973979,0.2369849412993275
4,voigt,541.0105907514098,28.920899862667603,11.019563788747249,0.2828926415442377
5,voigt,570.9230139900762,44.590312794888725,10.146019028000751,0.16956782663062464
6,voigt,646.1760365809821,56.04956779551644,8.88836099423303,0.11846101349833467
7,gauss,779.2805988399971,52.64899772047217,34.1996846954362,0.6101696461772579
8,lorentz,755.9608114771304,2.000000018410944,0.9978027532571347,0.12005210423280996
9,lorentz,791.4569643729171,11.61166629562477,1.6613472776833833,0.08867530337384143
10,lorentz,730.7502834520209,51.3524049369943,33.26318411525408,0.41225478027193385
11,voigt,814.2212049839277,13.912049110668033,1.6393601347347977,0.08680120133279892
12,voigt,940.0969182724407,21.155072829850138,7.998022321429937,0.276995455657939
13,voigt,921.7107423331663,28.343570868757553,15.236006445224358,0.39551078459913935
14,gauss,883.884164676312,70.76579011789633,45.19709454377152,0.5999016424543305
15,voigt,833.1652197056809,51.555071872716724,25.882140139253657,0.3735480075644107
16,gauss,1243.8153719437491,77.12554532711128,2.155874480797197,0.02624707581022149
17,lorentz,1392.9756873162573,160.9737587295041,33.831603502515875,0.13379170590661466
18,lorentz,1573.5474026872078,99.93823581617039,18.86618175980659,0.12017922537033203
