Wavenumber (cm^-1),Intensity (a.u.)
159.2615131,1462.9
162.1789225,1465.07
165.0607039,1466.3
167.9762982,1467.67
170.8909801,1469
173.7700678,1478.7
176.6829372,1475
179.5948955,1480.23
182.5059432,1477.47
185.3814415,1480.03
188.2906801,1481.57
191.1990092,1480.5
194.0718227,1489.8
196.9783452,1488.77
199.8839596,1491.77
202.7540919,1495.43
205.6579023,1492.03
208.5608058,1495.33
211.4282606,1494.5
214.3293626,1497.93
217.229559,1497.7
220.0943402,1495.9
222.9927375,1497.33
225.8902306,1496.77
228.7523419,1494.9
231.6480384,1498.13
234.5428318,1492.73
237.402277,1490.83
240.2952764,1495.7
243.1873741,1495.43
246.0441567,1494.47
248.9344629,1490.97
251.8238685,1490.4
254.6779924,1492.67
257.565609,1492.33
260.417966,1492.47
263.3037953,1494.8
266.1887261,1491.87
269.0384305,1491.83
271.9215765,1493.3
274.8038253,1488.17
277.6508808,1485.53
280.5313473,1490.9
283.3766424,1488
286.2553281,1489.73
289.1331187,1483.97
291.9757712,1486.17
294.8517835,1484.23
297.6926797,1485.77
300.5669154,1484.4
303.4402582,1483.07
306.2785178,1486.53
309.1500864,1483.97
311.9865937,1481.93
314.8563898,1484.1
317.6911466,1483.17
320.5591719,1484.67
323.426307,1481.9
326.2584358,1485.57
329.1238025,1481.03
331.9541847,1480.33
334.8177847,1481.63
337.646422,1479.7
340.5082569,1479.9
343.3351509,1479
346.1952223,1479.83
349.0203745,1476.3
351.8786841,1475.27
354.736108,1480.17
357.5586456,1475.4
360.4143101,1479.07
363.23511,1476.9
366.0890167,1477.93
368.9080806,1478.9
371.7602312,1479.4
374.5775605,1479.07
377.4279565,1482.1
380.2435531,1481.2
383.0921962,1480.37
385.9060614,1475.27
388.7529532,1478.17
391.5650888,1475.53
394.4102309,1479.97
397.2206384,1479.7
400.0640324,1478.9
402.8727134,1483.63
405.7143609,1476.77
408.5213171,1481.13
411.3612197,1481.1
414.1664526,1480.37
417.004612,1480.33
419.8081231,1479.5
422.6107791,1479.17
425.4463319,1482.3
428.2472686,1478.3
431.081082,1481.03
433.880301,1479.77
436.7123768,1482.57
439.5098795,1482.43
442.3402193,1480.97
445.1360074,1479.83
447.930944,1485.93
450.7586878,1484.07
453.5519121,1483.4
456.3779239,1482.4
459.1694375,1477.3
461.9937188,1485.37
464.7835234,1486.1
467.572479,1483.13
470.3941727,1486.47
473.1814217,1484.97
476.0013889,1484.63
478.7869326,1485.2
481.6051749,1482.2
484.389015,1485.97
487.172009,1483.1
489.987672,1487.37
492.7689647,1489.57
495.5829066,1487.67
498.3624996,1486.6
501.1412484,1485.93
503.952617,1487.53
506.7296684,1487.4
509.5058768,1483.97
512.3146755,1484.13
515.0891888,1481.27
517.8962728,1486.17
520.6690926,1483.2
523.4410713,1486.1
526.2455913,1483.67
529.0158788,1482.47
531.7853264,1481.6
534.5872859,1482.1
537.3550446,1481.23
540.1219644,1481.7
542.921367,1481.17
545.6866003,1478.3
548.4509959,1477.03
551.247845,1476.83
554.0105563,1473.2
556.8057017,1474.73
559.5667303,1478.8
562.3269232,1472.83
565.0862807,1469.17
567.8780334,1476.4
570.6357112,1473.23
573.3925548,1473.13
576.1817645,1470.13
578.9369307,1466.2
581.6912639,1466.37
584.477934,1464.73
587.230592,1465.03
589.9824182,1461.6
592.7665522,1462.1
595.5167055,1459.27
598.2660281,1463
601.0145202,1462.97
603.7952815,1463.2
606.5421038,1460.57
609.2880969,1459.8
612.0663302,1462.03
614.8106557,1456.17
617.5541531,1456.17
620.2968227,1457.27
623.0716941,1456.17
625.8126992,1455.73
628.5528776,1459.7
631.2922298,1453.2
634.0637453,1456
636.801436,1452.1
639.5383015,1457.03
642.3073016,1459.13
645.042508,1452.13
647.7768903,1454.57
650.5104489,1457.93
653.2431843,1451.13
656.0080063,1456.63
658.7390862,1455.73
661.4693439,1453.97
664.1987798,1455.5
666.9602641,1456.33
669.6880476,1456.73
672.4150104,1454.3
675.1411529,1453.17
677.8993056,1454.6
680.6237986,1459.5
683.3474724,1453.07
686.0703274,1449.9
688.7923639,1456.37
691.546363,1452.4
694.2667538,1457.77
696.9863272,1452.83
699.7050836,1453.97
702.4230234,1449.9
705.1728784,1453.53
707.8891761,1452.8
710.6046584,1452.3
713.3193255,1453.27
716.0331778,1454.67
718.7462157,1451.13
721.491112,1455.5
724.2025123,1454.37
726.9130993,1455.03
729.6228734,1456.97
732.3318349,1455.1
735.0399841,1454.77
737.7799351,1455.5
740.4864512,1458.9
743.1921562,1458.67
745.8970505,1456.17
748.6011343,1453.63
