Peak,Model,Center (cm⁻¹),FWHM (cm⁻¹),Area,Relative Intensity
1,voigt,446.5333882445393,99.99999999999999,0.09999999999999999,0.09999999999999999
2,voigt,515.0000000000001,99.99999999999999,0.39999999999999997,0.39999999999999997
3,voigt,555.0000000000001,99.99999999999999,0.19999999999999998,0.19999999999999998
4,voigt,685.0000000000001,99.99999999999999,0.09999999999999999,0.09999999999999999
5,voigt,735.0000000000001,99.99999999999999,0.31229942397413946,0.31229942397413946
6,voigt,777.7289595082417,21.664864926965883,0.07754189083062872,0.07754189083062872
7,voigt,835.691465263635,63.91013682600854,0.23446236093194975,0.23446236093194975
8,voigt,922.1539187393686,99.99999999999999,0.3058468889017964,0.3058468889017964
9,voigt,948.3995518079765,1.0000000000038336,0.09512937130373368,0.09512937130373368
10,voigt,986.3180185737854,17.793335061891494,0.06766288037072986,0.06766288037072986
11,lorentz,1355.4226927629143,199.99999999999997,66.73717233536199,0.2124131956877784
12,lorentz,1432.3262412133827,199.99999999999997,238.1497019292076,0.7579786517830841
13,lorentz,1626.802909114047,199.99999999999997,101.98134566616567,0.3241709546602545
